Season,game Number,Week,Player,Team,Opposing Team,Position,goals,uaGoals,uaShots,uaS%,assistedGoals,assistedShots,assistedS%,% of Shots Assisted,shots,settledGoals,settledShots,settledSh%,fbGoals,subGoals,ppGoals,assists,assistOpportunities,dodgeAssists,pnrAssists,settledAssists,fbAssists,ppAssists,sh%Created,AO-to-SH Ratio,secondAssists,secondAo,sog,offShots,blockedShots,messyShots,pipeShots,shotClockResets,cleanSaveShots,shotTurnovers,turnovers,TO + Shot TO,AO-to-TO Ratio,rhGoals,rhShots,rhS%,lhGoals,lhShots,lhSh%,doorstepGoals,holeGoals,lpGoals,lwGoals,mGoals,rwGoals,rpGoals,twoPointGoals,doorstepShots,holeShots,lpShots,lwShots,mShots,rwShots,rpShots,twoPointShots,xg,playerId,teamId
2019,1,1,Stephen Kelly,Archers,Chrome,FO,1,1,2,50.00%,0,0,0.00%,0.00%,2,0,0,0%,1,0,0,0,0,0,0,0,0,0,0.00%,0.00,0,0,1,0,1,0,0,0,0,1,0,1,0.00,0,0,0.00%,1,2,50.00%,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0.5,000222,ARC
2019,1,1,Drew Simoneau,Chrome,Archers,FO,0,0,1,0.00%,0,0,0.00%,0.00%,1,0,0,0%,0,0,0,0,0,0,0,0,0,0,0.00%,0.00,0,0,0,1,0,0,1,0,0,1,1,2,0.00,0,0,0.00%,0,1,0.00%,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.6,000289,CHR
2019,1,1,Dominique Alexander,Archers,Chrome,M,0,0,0,0.00%,0,0,0.00%,0.00%,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0.00%,0.00,0,0,0,0,0,0,0,0,0,0,1,1,0.00,0,0,0.00%,0,0,0.00%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,000207,ARC
2019,1,1,John Ranagan,Chrome,Archers,M,1,1,2,50.00%,0,1,0.00%,33.33%,3,1,3,33%,0,0,0,0,0,0,0,0,0,0,0.00%,0.00,0,0,1,2,0,0,2,0,0,0,2,2,0.00,0,0,0.00%,1,3,33.33%,0,0,0,0,0,1,0,0,0,0,0,0,1,2,0,0,1.2,000294,CHR
2019,1,1,Jordan MacIntosh,Chrome,Archers,M,2,0,0,0.00%,2,5,40.00%,100.00%,5,2,4,50%,0,0,0,0,1,0,0,0,0,0,0.00%,0.20,0,0,4,1,0,2,1,1,0,1,3,4,0.33,2,4,50.00%,0,0,0.00%,0,1,0,0,1,0,0,0,0,2,0,1,1,0,0,1,2.3,000295,CHR
2019,1,1,Ben Mcintosh,Archers,Chrome,M,3,1,3,33.33%,2,4,50.00%,57.14%,7,3,7,43%,0,0,0,0,0,0,0,0,0,0,0.00%,0.00,0,0,4,3,0,1,3,1,0,0,2,2,0.00,3,7,42.86%,0,0,0.00%,0,1,0,0,2,0,0,0,0,3,0,1,3,0,0,0,2.7,000203,ARC
2019,1,1,Kevin Rice,Archers,Chrome,A,0,0,2,0.00%,0,1,0.00%,33.33%,3,0,3,0%,0,0,0,0,1,0,0,0,0,0,0.00%,0.33,1,2,0,2,0,0,2,0,1,2,4,6,0.25,0,2,0.00%,0,1,0.00%,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,1.4,000215,ARC
2019,1,1,John Galloway,Chrome,Archers,#VALUE!,0,0,0,0.00%,0,0,0.00%,0.00%,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0.00%,0.00,0,0,0,0,0,0,0,0,0,0,1,1,0.00,0,0,0.00%,0,0,0.00%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3,000291,CHR
2019,1,1,Will Manny,Archers,Chrome,A,4,0,0,0.00%,4,8,50.00%,100.00%,8,3,6,50%,0,0,1,0,2,0,0,0,0,0,0.00%,0.25,0,0,5,2,1,1,2,0,0,2,1,3,2.00,0,0,0.00%,4,8,50.00%,2,1,0,0,0,0,1,0,2,3,1,0,0,1,1,0,3.5,000227,ARC
2019,1,1,Max Tuttle,Chrome,Archers,M,0,0,1,0.00%,0,1,0.00%,50.00%,2,0,2,0%,0,0,0,1,1,1,0,1,0,0,100.00%,0.50,0,0,0,2,0,0,2,0,0,0,0,0,0.00,0,2,0.00%,0,0,0.00%,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0.4,000367,CHR
