Season,Game,Week,Date,Market,Team,Opponent,Possesions,Possesions Against,Goals,2pt Goals,Goals Against,Score,Score Against,Efficiency,D Efficiency,Unassisted Goals,Unassisted Shots,Unassisted Sh. %,Unassisted goals A,Unassisted Shots Against,Unassisted A%,Assisted Goals,Assisted Shots,Assisted Sh. %,Assisted Goals A,Assisted Sh A,Assisted A%,Shots,Shots A,Dodge G,Dodge Sh,Dodge Sh%,Dodge G A,Dodge Sh A,Dodge Sh% A,Two-man G,Two-man Sh,Two-man Sh%,Two-man G A,Two-man Sh A,Two-man Sh% A,Second Assists,Second AOs,Turnovers,AO-to-TO Ratio,PNR Assists,FB Possesion,FB Goals,FB Shots,FB Points,FB Turnovers,FB %,FB Possesion Against,FB Goals Against,FB Shots Against,FB Points Against,FB CTO,Settled Possesion,Settled Goal,Settled Shots,Settled Poss A,Settled Goals agaisnt,Settled Shots Against,Saves,Save %,Devitte,Unique Goal Scorers,Average Shot Distance,Average Assist Distance,TOP (sec),TOP %,Possession %,Result,Possesion Battle,P&W,Margin,Quality Shots,Tough Shots,Shot Quality Ratio,Quality Shots A,Tough Shots A,Shot Quality A Ratio,Shot Quality Margin,Expected Goals
2019,1,1,6/1/2019,Boston,Archers,Chrome,41,46,12,1,12,13,12,0.29,0.26,4,17,0.24,6,24,0.25,8,17,0.47,6,20,0.30,34,44,7,18,0.39,6,24,0.25,2,7,0.29,3,9,0.33,2,5,18,0.44,1,7,1,5,1,2,0.14,13,3,10,3,3,29,9,25,33,9,34,12,0.5,2,5,10.02170907,#DIV/0!,1177,0.41,0.47,W,L,0,1,12,22,1.8,19,25,1.3,0.5,13.6
2019,1,1,6/1/2019,Boston,Chrome,Archers,46,41,12,0,12,12,13,0.26,0.29,6,24,0.25,4,17,0.24,6,20,0.30,8,17,0.47,44,34,6,24,0.25,7,18,0.39,3,9,0.33,2,7,0.29,3,5,21,0.29,2,13,3,10,3,3,0.23,7,1,5,1,2,33,9,34,29,9,25,8,0.4,-3,7,10.00258634,#DIV/0!,1282,0.45,0.53,L,W,0,-1,19,25,1.3,12,22,1.8,-0.5,17.4
2019,2,1,6/1/2019,Boston,Whipsnakes,Chaos,44,43,15,0,13,15,14,0.34,0.30,8,36,0.22,9,21,0.43,7,18,0.39,4,15,0.27,54,36,7,32,0.22,5,14,0.36,2,5,0.40,3,7,0.43,3,6,14,0.50,1,11,3,11,3,0,0.27,13,4,10,5,3,28,8,36,20,7,20,12,0.5,8,9,10.68662751,#DIV/0!,1277,0.44,0.51,W,W,1,1,20,34,1.7,22,14,0.6,1.1,16.2
2019,2,1,6/1/2019,Boston,Chaos,Whipsnakes,43,44,13,1,15,14,15,0.30,0.34,9,21,0.43,8,36,0.22,4,15,0.27,7,18,0.39,36,54,5,14,0.36,7,32,0.22,3,7,0.43,2,5,0.40,2,4,16,0.25,0,13,4,10,5,3,0.31,11,3,11,3,0,20,7,20,28,8,36,12,0.4,1,8,10.13999008,#DIV/0!,1112,0.39,0.49,L,L,0,-1,22,14,0.6,20,34,1.7,-1.1,13.9
2019,3,1,6/2/2019,Boston,Atlas,Redwoods,43,42,9,0,11,9,11,0.21,0.26,2,22,0.09,5,32,0.16,7,21,0.33,6,22,0.27,43,54,3,17,0.18,5,26,0.19,2,5,0.40,1,7,0.14,5,9,14,0.50,1,17,3,17,3,1,0.18,13,3,13,3,1,24,6,20,23,5,28,22,0.7,2,6,10.53204727,#DIV/0!,1052,0.37,0.51,L,W,0,-2,14,29,2.1,23,31,1.3,0.7,14.5
2019,3,1,6/2/2019,Boston,Redwoods,Atlas,42,43,11,0,9,11,9,0.26,0.21,5,32,0.16,2,22,0.09,6,22,0.27,7,21,0.33,54,43,5,26,0.19,3,17,0.18,1,7,0.14,2,5,0.40,1,9,13,0.46,1,13,3,13,3,1,0.23,17,3,17,3,1,23,5,28,24,6,20,19,0.7,4,7,10.17659623,#DIV/0!,1279,0.44,0.49,W,L,0,2,23,31,1.3,14,29,2.1,-0.7,18.1
2019,4,2,6/8/2019,New York,Whipsnakes,Chrome,43,46,11,1,10,12,11,0.26,0.22,5,27,0.19,5,26,0.19,6,21,0.29,5,18,0.28,48,44,4,30,0.13,5,19,0.26,3,7,0.43,2,11,0.18,2,5,14,0.43,1,6,1,6,1,0,0.17,9,0,9,0,2,26,5,33,30,8,31,16,0.6,3,7,10.9090251,#DIV/0!,1325,0.46,0.48,W,L,0,1,16,32,2.0,22,22,1.0,1.0,15.6
2019,4,2,6/8/2019,New York,Chrome,Whipsnakes,46,43,10,1,11,11,12,0.22,0.26,5,26,0.19,5,27,0.19,5,18,0.28,6,21,0.29,44,48,5,19,0.26,4,30,0.13,2,11,0.18,3,7,0.43,2,4,22,0.23,0,9,0,9,0,2,0.00,6,1,6,1,0,30,8,31,26,5,33,17,0.6,-7,5,10.24206569,#DIV/0!,1438,0.50,0.52,L,W,0,-1,22,22,1.0,16,32,2.0,-1.0,16.7
2019,5,2,6/8/2019,New York,Redwoods,Archers,41,38,9,0,10,9,10,0.22,0.26,6,22,0.27,5,14,0.36,3,16,0.19,5,21,0.24,38,35,4,16,0.25,4,14,0.29,3,4,0.75,4,9,0.44,1,5,17,0.18,0,9,1,9,1,0,0.11,8,1,5,1,3,23,7,19,23,9,21,16,0.6,-5,6,10.706807,#DIV/0!,1116,0.39,0.52,L,W,0,-1,12,26,2.2,18,17,0.9,1.2,14.4
2019,5,2,6/8/2019,New York,Archers,Redwoods,38,41,10,0,9,10,9,0.26,0.22,5,14,0.36,6,22,0.27,5,21,0.24,3,16,0.19,35,38,4,14,0.29,4,16,0.25,4,9,0.44,3,4,0.75,2,8,17,0.29,3,8,1,5,1,3,0.13,9,1,9,1,0,23,9,21,23,7,19,16,0.6,-2,7,9.725293658,#DIV/0!,1169,0.41,0.48,W,L,0,1,18,17,0.9,12,26,2.2,-1.2,13.9
